PART NUMBER,GROUP,CUST PRICE,RET PRICE,CATEGORY
003900,PRICEGROUP5,44.9836,83.0477,3010
003900,PRICEGROUP6,33.45,83.0477,3031
003900,PRICEGROUP7,41.5239,83.0477,3021
003900UC,PRICEGROUP1,33.45,83.0477,3050
003900UC,PRICEGROUP2,33.45,83.0477,3040
003900UC,PRICEGROUP3,36.9106,83.0477,3030
003900UC,PRICEGROUP4,41.5239,83.0477,3020
003900UC,PRICEGROUP5,44.9836,83.0477,3010
003900UC,PRICEGROUP6,33.45,83.0477,3031
003900UC,PRICEGROUP7,41.5239,83.0477,3021
004000,PRICEGROUP1,33.45,83.0477,3050
004000,PRICEGROUP2,33.45,83.0477,3040
004000,PRICEGROUP3,36.9106,83.0477,3030
004000,PRICEGROUP4,41.5239,83.0477,3020
004000,PRICEGROUP5,44.9836,83.0477,3010
004000,PRICEGROUP6,33.45,83.0477,3031
004000,PRICEGROUP7,41.5239,83.0477,3021
004000UC,PRICEGROUP1,33.45,83.0477,3050
004000UC,PRICEGROUP2,33.45,83.0477,3040
004000UC,PRICEGROUP3,36.9106,83.0477,3030
004000UC,PRICEGROUP4,41.5239,83.0477,3020
004000UC,PRICEGROUP5,44.9836,83.0477,3010
004000UC,PRICEGROUP6,33.45,83.0477,3031
004000UC,PRICEGROUP7,41.5239,83.0477,3021
004200,PRICEGROUP1,33.45,83.0477,3050
004200,PRICEGROUP2,33.45,83.0477,3040
004200,PRICEGROUP3,36.9106,83.0477,3030
004200,PRICEGROUP4,41.5239,83.0477,3020
004200,PRICEGROUP5,44.9836,83.0477,3010
004200,PRICEGROUP6,33.45,83.0477,3031
004200,PRICEGROUP7,41.5239,83.0477,3021
004200UC,PRICEGROUP1,33.45,83.0477,3050
004200UC,PRICEGROUP2,33.45,83.0477,3040
004200UC,PRICEGROUP3,36.9106,83.0477,3030
004200UC,PRICEGROUP4,41.5239,83.0477,3020
004200UC,PRICEGROUP5,44.9836,83.0477,3010
004200UC,PRICEGROUP6,33.45,83.0477,3031
004200UC,PRICEGROUP7,41.5239,83.0477,3021
004230,PRICEGROUP1,33.45,83.0477,3050
004230,PRICEGROUP2,33.45,83.0477,3040
004230,PRICEGROUP3,36.9106,83.0477,3030
004230,PRICEGROUP4,41.5239,83.0477,3020
004230,PRICEGROUP5,44.9836,83.0477,3010
004230,PRICEGROUP6,33.45,83.0477,3031
004230,PRICEGROUP7,41.5239,83.0477,3021
004400,PRICEGROUP1,33.45,83.0477,3050
004400,PRICEGROUP2,33.45,83.0477,3040
004400,PRICEGROUP3,36.9106,83.0477,3030
004400,PRICEGROUP4,41.5239,83.0477,3020
004400,PRICEGROUP5,44.9836,83.0477,3010
004400,PRICEGROUP6,33.45,83.0477,3031
004400,PRICEGROUP7,41.5239,83.0477,3021
004400UC,PRICEGROUP1,33.45,83.0477,3050
004400UC,PRICEGROUP2,33.45,83.0477,3040
004400UC,PRICEGROUP3,36.9106,83.0477,3030
004400UC,PRICEGROUP4,41.5239,83.0477,3020
004400UC,PRICEGROUP5,44.9836,83.0477,3010
004400UC,PRICEGROUP6,33.45,83.0477,3031
004400UC,PRICEGROUP7,41.5239,83.0477,3021
004520,PRICEGROUP1,33.45,83.0477,3050
004520,PRICEGROUP2,33.45,83.0477,3040
004520,PRICEGROUP3,36.9106,83.0477,3030
004520,PRICEGROUP4,41.5239,83.0477,3020
004520,PRICEGROUP5,44.9836,83.0477,3010
004520,PRICEGROUP6,33.45,83.0477,3031
004520,PRICEGROUP7,41.5239,83.0477,3021
004520UC,PRICEGROUP1,33.45,83.0477,3050
004520UC,PRICEGROUP2,33.45,83.0477,3040
004520UC,PRICEGROUP3,36.9106,83.0477,3030
004520UC,PRICEGROUP4,41.5239,83.0477,3020
004520UC,PRICEGROUP5,44.9836,83.0477,3010
004520UC,PRICEGROUP6,33.45,83.0477,3031
004520UC,PRICEGROUP7,41.5239,83.0477,3021
004600,PRICEGROUP1,26.529,66.8995,3050
004600,PRICEGROUP2,26.529,66.8995,3040
004600,PRICEGROUP3,29.989,66.8995,3030
004600,PRICEGROUP4,33.4498,66.8995,3020
004600,PRICEGROUP5,36.9151,66.8995,3010
004600,PRICEGROUP6,26.529,66.8995,3031
004600,PRICEGROUP7,33.4498,66.8995,3021
004704,PRICEGROUP1,33.45,83.0477,3050
004704,PRICEGROUP2,33.45,83.0477,3040
004704,PRICEGROUP3,36.9106,83.0477,3030
004704,PRICEGROUP4,41.5239,83.0477,3020
004704,PRICEGROUP5,44.9836,83.0477,3010
004704,PRICEGROUP6,33.45,83.0477,3031
004704,PRICEGROUP7,41.5239,83.0477,3021
004714,PRICEGROUP1,33.45,83.0477,3050
004714,PRICEGROUP2,33.45,83.0477,3040
004714,PRICEGROUP3,36.9106,83.0477,3030
004714,PRICEGROUP4,41.5239,83.0477,3020
004714,PRICEGROUP5,44.9836,83.0477,3010
004714,PRICEGROUP6,33.45,83.0477,3031
004714,PRICEGROUP7,41.5239,83.0477,3021
004730,PRICEGROUP1,33.45,83.0477,3050
004730,PRICEGROUP2,33.45,83.0477,3040
004730,PRICEGROUP3,36.9106,83.0477,3030
004730,PRICEGROUP4,41.5239,83.0477,3020
004730,PRICEGROUP5,44.9836,83.0477,3010
004730,PRICEGROUP6,33.45,83.0477,3031
004730,PRICEGROUP7,41.5239,83.0477,3021
004900,PRICEGROUP1,33.45,83.0477,3050
004900,PRICEGROUP2,33.45,83.0477,3040
004900,PRICEGROUP3,36.9106,83.0477,3030
004900,PRICEGROUP4,41.5239,83.0477,3020
004900,PRICEGROUP5,44.9836,83.0477,3010
004900,PRICEGROUP6,33.45,83.0477,3031
004900,PRICEGROUP7,41.5239,83.0477,3021
004900UC,PRICEGROUP1,33.45,83.0477,3050
004900UC,PRICEGROUP2,33.45,83.0477,3040
004900UC,PRICEGROUP3,36.9106,83.0477,3030
004900UC,PRICEGROUP4,41.5239,83.0477,3020
004900UC,PRICEGROUP5,44.9836,83.0477,3010
004900UC,PRICEGROUP6,33.45,83.0477,3031
004900UC,PRICEGROUP7,41.5239,83.0477,3021
